"Subject","Start Date","Start Time","End Date","End Time","Location","Description","Organizer","All Day","Importance","Busy Status","Sensitivity","Is Recurring","Recurrence Pattern","Reminder (minutes)"
"Sue & Kevin in Hilversum","2018-04-26","All Day","2018-05-01","All Day","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","No","",""
"]#","2018-04-26","All Day","2018-04-27","All Day","","","","Yes","normal","free","normal","No","",""
"08:30 Purdy Blood Test","2018-04-26","07:00:00","2018-04-26","08:00:00","Vets","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Full Body Massage 10:45 - 11:45","2018-04-26","09:00:00","2018-04-26","11:00:00","York College","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"17:20 LBA to AMS with Kev n Sue","2018-04-26","14:00:00","2018-04-26","18:30:00","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"22:10 - AMS to LBA with S&K","2018-04-30","19:00:00","2018-04-30","22:00:00","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Aquafit","2018-05-01","08:00:00","2018-05-01","09:30:00","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Full Body Massage 18:30 - 19:30","2018-05-01","17:00:00","2018-05-01","19:00:00","York College","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"LEEDS ELECTIONS?","2018-05-03","All Day","2018-05-04","All Day","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","No","",""
"Tom - 16:40 AMS - LBA","2018-05-03","14:30:00","2018-05-03","17:00:00","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"09:20 Tom to Dentist","2018-05-04","07:45:00","2018-05-04","09:15:00","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"09:00 Tom to Hairdressers","2018-05-05","07:30:00","2018-05-05","09:00:00","Cube","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"BANK HOLIDAY","2018-05-07","All Day","2018-05-08","All Day","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","Yes","normal","out-of-office","normal","No","",""
"19:00 for 19:30 Paul & Carols 40th Anniversary Party","2018-05-08","17:00:00","2018-05-08","21:00:00","David Lloyd Centre","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Tom 10:20 LBA - AMS","2018-05-09","07:00:00","2018-05-09","09:00:00","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"08:58 Eleanor to London","2018-05-10","07:00:00","2018-05-10","10:00:00","Virgin","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"14:00 Barbara's Funeral","2018-05-10","12:00:00","2018-05-10","17:00:00","Eltham Crem","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Heather in Hilversum","2018-05-11","All Day","2018-05-14","All Day","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","No","",""
"21:25 Heather & Eleanor arrive Hilversum KLM","2018-05-11","19:30:00","2018-05-11","21:30:00","Schiphol","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"17:35 Heather to London","2018-05-13","14:00:00","2018-05-13","16:00:00","Schiphol","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"16:40  Eleanor to LBA","2018-05-14","13:00:00","2018-05-14","18:00:00","and bus home","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"18:30 Facial & Manicure","2018-05-15","17:00:00","2018-05-15","19:00:00","York College","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Races","2018-05-16","All Day","2018-05-19","All Day","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","No","",""
"15:00 - 17:00 Minster Alarms for Annual Service","2018-05-16","14:00:00","2018-05-16","16:00:00","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"17:40 Eleanor to AMS","2018-05-17","14:00:00","2018-05-17","17:30:00","Booked 15/02/18 WFFTU7","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Car to Sentinel","2018-05-17","15:00:00","2018-05-17","15:00:00","Booked 15/2/18","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Barbie & Derek in Hilversum","2018-05-18","All Day","2018-05-23","All Day","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","No","",""
"12:40 B&D Arrive AMS (Easyjet)","2018-05-18","11:00:00","2018-05-18","12:00:00","","","","No","normal","busy","normal","No","",""
"Birthday - Paul Ziolowski (22/05/2018)","2018-05-22","All Day","2018-05-22","All Day","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=22",""
"13:10 B&D Leave AMS","2018-05-22","12:00:00","2018-05-22","13:00:00","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"16:40 Eleanor to LBA","2018-05-22","13:30:00","2018-05-22","16:00:00","Booked 15/2/18 Ref WFFTU7","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Full Body Massage 18:30 - 19:30","2018-05-22","17:00:00","2018-05-22","19:00:00","York College","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","Yes","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=TU;COUNT=3",""
